interface_id,firewall_id,vdom_id,interface_name,ip_address,mask,type,vlan_id,description,status,physical_interface_name,last_updated
301,20,26,ict_nessus,172.27.66.33,27,interface,3546,,,,2025-06-19 10:16:35.285797
302,20,26,digora_monitor,172.27.67.1,28,interface,3381,,,,2025-06-19 10:16:35.285797
303,20,40,mobileiron-wan,213.166.34.38,29,interface,2793,,,,2025-06-19 10:16:35.285797
304,20,22,alpha-lo2,192.168.90.254,32,loopback,,None,,,2025-06-19 10:16:35.285797
305,49,51,caasdev-vrf,213.166.34.6,29,interface,2065,,,,2025-06-19 10:16:35.285797
306,49,51,evr-caasdev1,37.157.154.62,29,interface,2633,,,,2025-06-19 10:16:35.285797
307,49,54,evr-snch0,37.157.156.17,29,interface,2630,,,,2025-06-19 10:16:35.285797
308,49,54,evr-caasdev0,37.157.154.57,29,interface,2633,,,,2025-06-19 10:16:35.285797
309,49,54,evr-ala0,78.141.187.97,29,interface,2668,,,,2025-06-19 10:16:35.285797
310,49,54,evr-b2hub0,78.141.187.57,29,interface,2666,,,,2025-06-19 10:16:35.285797
311,49,54,evr-netcore0,78.141.187.161,28,interface,2653,,,,2025-06-19 10:16:35.285797
312,49,54,evr-eurofoi0,78.141.187.217,29,interface,2678,,,,2025-06-19 10:16:35.285797
313,49,54,evr-efg0,37.157.154.33,29,interface,2691,,,,2025-06-19 10:16:35.285797
314,49,54,evr-cloudbizz0,37.157.154.209,28,interface,2695,,,,2025-06-19 10:16:35.285797
315,49,54,evr-massena0,37.157.154.193,29,interface,2696,,,,2025-06-19 10:16:35.285797
316,49,54,evr-castegnaro0,37.157.154.233,29,interface,2697,,,,2025-06-19 10:16:35.285797
317,49,54,evr-flashiz0,37.157.154.249,29,interface,2699,,,,2025-06-19 10:16:35.285797
318,49,54,evr-natixis0,37.157.155.89,29,interface,2648,,,,2025-06-19 10:16:35.285797
319,49,54,evr-infocrise0,37.157.155.121,29,interface,2646,,,,2025-06-19 10:16:35.285797
320,49,54,evr-iclux0,37.157.155.145,29,interface,2645,,,,2025-06-19 10:16:35.285797
321,49,54,evr-oda0,37.157.155.177,29,interface,2639,,,,2025-06-19 10:16:35.285797
322,49,54,evr-ittm0,37.157.155.185,29,interface,2638,,,,2025-06-19 10:16:35.285797
323,49,54,evr-kpmg0,37.157.155.241,29,interface,2632,,,,2025-06-19 10:16:35.285797
324,49,52,castgnaro-vrf,213.166.34.6,29,interface,2039,,,,2025-06-19 10:16:35.285797
325,49,52,evr-castegnaro1,37.157.154.238,29,interface,2697,,,,2025-06-19 10:16:35.285797
326,49,52,castegnaro-wan1,213.166.34.38,29,interface,2752,IPVPN 1271100307 / 1281103862 / SAM 30625,,,2025-06-19 10:16:35.285797
327,49,53,evr-eurofoi1,78.141.187.222,29,interface,2678,,,,2025-06-19 10:16:35.285797
328,49,53,eurofoil-wan1,172.30.255.249,29,interface,2729,IPVPN 1271100223 Site 1281103098,,,2025-06-19 10:16:35.285797
329,49,53,eurofoil-vrf,213.166.34.6,29,interface,2005,,,,2025-06-19 10:16:35.285797
330,49,56,luxith-vrf,213.166.34.6,29,interface,2025,,,,2025-06-19 10:16:35.285797
331,49,56,luxith-wan1,213.166.34.38,29,interface,2739,,,,2025-06-19 10:16:35.285797
332,49,57,evr-netcore1,78.141.187.174,28,interface,2653,,,,2025-06-19 10:16:35.285797
333,49,57,netcore-vrf,213.166.34.6,29,interface,2021,,,,2025-06-19 10:16:35.285797
334,49,54,evr-luxair0,37.157.156.57,29,interface,2626,,,,2025-06-19 10:16:35.285797
335,49,54,evr-luxplan0,37.157.156.25,29,interface,2629,,,,2025-06-19 10:16:35.285797
